Rank,Title,Year,Rated,Released,Runtime,Director,Plot,Poster,Metascore,imdbID,imdbRating,imdbVotes,Type
11,Fight Club,1999,R,15 Oct 1999,139 min,David Fincher,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,66,tt0137523,8.8,"1,824,020",movie
12,Forrest Gump,1994,PG-13,06 Jul 1994,142 min,Robert Zemeckis,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,82,tt0109830,8.8,"1,774,810",movie
13,Inception,2010,PG-13,16 Jul 2010,148 min,Christopher Nolan,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,74,tt1375666,8.8,"2,029,549",movie
14,The Lord of the Rings: The Two Towers,2002,PG-13,18 Dec 2002,179 min,Peter Jackson,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,87,tt0167261,8.7,"1,463,150",movie
15,Star Wars: Episode V - The Empire Strikes Back,1980,PG,20 Jun 1980,124 min,Irvin Kershner,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,82,tt0080684,8.7,"1,141,931",movie
16,The Matrix,1999,R,31 Mar 1999,136 min,"Lana Wachowski, Lilly Wachowski","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,73,tt0133093,8.7,"1,647,373",movie
17,Goodfellas,1990,R,21 Sep 1990,146 min,Martin Scorsese,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,90,tt0099685,8.7,"1,003,253",movie
18,One Flew Over the Cuckoo's Nest,1975,R,19 Nov 1975,133 min,Milos Forman,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,83,tt0073486,8.7,"900,953",movie
19,Seven Samurai,1954,Not Rated,19 Nov 1956,207 min,Akira Kurosawa,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,98,tt0047478,8.6,"310,476",movie
20,Se7en,1995,R,22 Sep 1995,127 min,David Fincher,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,65,tt0114369,8.6,"1,417,662",movie
21,Life Is Beautiful,1997,PG-13,20 Dec 1997,116 min,Roberto Benigni,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,59,tt0118799,8.6,"610,754",movie
22,City of God,2002,R,13 Feb 2004,130 min,"Fernando Meirelles, Kátia Lund(co-director)","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,79,tt0317248,8.6,"690,172",movie
23,The Silence of the Lambs,1991,R,14 Feb 1991,118 min,Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,85,tt0102926,8.6,"1,249,096",movie
24,It's a Wonderful Life,1946,PG,07 Jan 1947,130 min,Frank Capra,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,89,tt0038650,8.6,"391,743",movie
25,Star Wars: Episode IV - A New Hope,1977,PG,25 May 1977,121 min,George Lucas,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,90,tt0076759,8.6,"1,213,873",movie
26,Saving Private Ryan,1998,R,24 Jul 1998,169 min,Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,91,tt0120815,8.6,"1,217,212",movie
27,Spirited Away,2001,PG,28 Mar 2003,125 min,Hayao Miyazaki,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,96,tt0245429,8.6,"630,898",movie
28,The Green Mile,1999,R,10 Dec 1999,189 min,Frank Darabont,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg,61,tt0120689,8.6,"1,125,092",movie
29,Interstellar,2014,PG-13,07 Nov 2014,169 min,Christopher Nolan,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,74,tt0816692,8.6,"1,473,010",movie
30,Parasite,2019,R,08 Nov 2019,132 min,Bong Joon Ho,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,96,tt6751668,8.6,"497,051",movie
31,Léon: The Professional,1994,R,18 Nov 1994,110 min,Luc Besson,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,64,tt0110413,8.5,"1,018,590",movie
32,The Usual Suspects,1995,R,16 Aug 1995,106 min,Bryan Singer,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,77,tt0114814,8.5,"975,140",movie
33,Bijo kenshi: Futari seppuku,1990,N/A,N/A,42 min,N/A,N/A,N/A,N/A,tt0440107,5.5,32,movie
34,The Lion King,1994,G,24 Jun 1994,88 min,"Roger Allers, Rob Minkoff","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,88,tt0110357,8.5,"924,707",movie
35,Back to the Future,1985,PG,03 Jul 1985,116 min,Robert Zemeckis,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,87,tt0088763,8.5,"1,039,498",movie
36,The Pianist,2002,R,28 Mar 2003,150 min,Roman Polanski,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,85,tt0253474,8.5,"715,124",movie
37,Terminator 2: Judgment Day,1991,R,03 Jul 1991,137 min,James Cameron,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,75,tt0103064,8.5,"982,640",movie
38,American History X,1998,R,20 Nov 1998,119 min,Tony Kaye,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,62,tt0120586,8.5,"1,022,451",movie
39,Modern Times,1936,G,25 Feb 1936,87 min,Charles Chaplin,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,96,tt0027977,8.5,"213,467",movie
40,Psycho,1960,R,08 Sep 1960,109 min,Alfred Hitchcock,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,97,tt0054215,8.5,"593,052",movie
41,Gladiator,2000,R,05 May 2000,155 min,Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,67,tt0172495,8.5,"1,320,859",movie
42,City Lights,1931,G,07 Mar 1931,87 min,Charles Chaplin,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,99,tt0021749,8.5,"164,505",movie
43,The Departed,2006,R,06 Oct 2006,151 min,Martin Scorsese,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,85,tt0407887,8.5,"1,167,158",movie
44,The Intouchables,2011,R,02 Nov 2011,112 min,"Olivier Nakache, Éric Toledano","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg,57,tt1675434,8.5,"745,562",movie
45,Whiplash,2014,R,15 Oct 2014,106 min,Damien Chazelle,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,88,tt2582802,8.5,"697,240",movie
46,The Prestige,2006,PG-13,20 Oct 2006,130 min,Christopher Nolan,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg,66,tt0482571,8.5,"1,167,856",movie
47,Grave of the Fireflies,1988,Not Rated,26 Jul 1989,89 min,Isao Takahata,A young boy and his little sister struggle to survive in Japan during World War II.,https://m.media-amazon.com/images/M/MV5BZmY2NjUzNDQtNTgxNC00M2Q4LTljOWQtMjNjNDBjNWUxNmJlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,94,tt0095327,8.5,"228,335",movie
48,Hamilton,2020,PG-13,03 Jul 2020,160 min,Thomas Kail,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,90,tt8503618,8.6,"45,982",movie
49,Once Upon a Time in the West,1968,PG-13,04 Jul 1969,165 min,Sergio Leone,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,80,tt0064116,8.5,"297,598",movie
50,Casablanca,1942,PG,23 Jan 1943,102 min,Michael Curtiz,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,100,tt0034583,8.5,"513,662",movie
51,Cinema Paradiso,1988,R,23 Feb 1990,155 min,Giuseppe Tornatore,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_SX300.jpg,80,tt0095765,8.5,"225,375",movie
52,Rear Window,1954,PG,01 Sep 1954,112 min,Alfred Hitchcock,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,100,tt0047396,8.4,"436,051",movie
53,Alien,1979,R,22 Jun 1979,117 min,Ridley Scott,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,89,tt0078748,8.4,"775,141",movie
54,Apocalypse Now,1979,R,15 Aug 1979,147 min,Francis Ford Coppola,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,94,tt0078788,8.4,"597,478",movie
55,Memento,2000,R,25 May 2001,113 min,Christopher Nolan,A man with short-term memory loss attempts to track down his wife's murderer.,https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,80,tt0209144,8.4,"1,109,251",movie
56,The Great Dictator,1940,Passed,07 Mar 1941,125 min,Charles Chaplin,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,tt0032553,8.4,"199,536",movie
57,Raiders of the Lost Ark,1981,PG,12 Jun 1981,115 min,Steven Spielberg,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,85,tt0082971,8.4,"870,719",movie
58,Django Unchained,2012,R,25 Dec 2012,165 min,Quentin Tarantino,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,81,tt1853728,8.4,"1,330,096",movie
59,The Lives of Others,2006,R,30 Mar 2007,137 min,Florian Henckel von Donnersmarck,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,89,tt0405094,8.4,"351,436",movie
60,Joker,2019,R,04 Oct 2019,122 min,Todd Phillips,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,59,tt7286456,8.5,"883,048",movie
61,Paths of Glory,1957,Approved,25 Dec 1957,88 min,Stanley Kubrick,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",https://m.media-amazon.com/images/M/MV5BNjViMmRkOTEtM2ViOS00ODg0LWJhYWEtNTBlOGQxNDczOGY3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,90,tt0050825,8.4,"174,992",movie
62,WALL·E,2008,G,27 Jun 2008,98 min,Andrew Stanton,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,95,tt0910970,8.4,"984,757",movie
63,The Shining,1980,R,13 Jun 1980,146 min,Stanley Kubrick,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",https://m.media-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,66,tt0081505,8.4,"878,822",movie
64,Avengers: Infinity War,2018,PG-13,27 Apr 2018,149 min,"Anthony Russo, Joe Russo",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg,68,tt4154756,8.4,"812,007",movie
65,Sunset Boulevard,1991,N/A,N/A,8 min,Thomas Korschil,"Sunset Boulevard is the attempt to simultaneously picture the two big, contradictory myths of U.S. America: the myth of unlimited individualism (""lonesome rider""), and the myth of the ""...",https://m.media-amazon.com/images/M/MV5BMTg1NzE0MzM5OF5BMl5BanBnXkFtZTYwMTMyNjk5._V1_SX300.jpg,N/A,tt0158253,8.2,31,movie
